surface,embedding
supposed,1.802365 -1.362784 1.367657 1.106622 -0.313482 0.531180 0.121424 0.430942 0.869675 0.324274 -0.681120 -0.867480 -0.430194 0.054168 0.330656 -1.052621
plenty,-0.114276 -0.975062 0.064275 2.497631 0.221454 -0.382235 -0.023280 -0.535245 0.251934 -1.033548 0.072374 -0.149373 -0.428525 -0.972198 -0.460299 -0.668470
reported,1.010643 -0.076361 0.813192 0.334853 -0.168559 -0.293825 -0.046190 0.125338 -0.319786 0.177203 -0.571265 -0.613536 0.063040 -0.457389 1.066299 -0.213311
purchase,0.797915 -0.429424 0.001821 0.526163 -0.114894 -0.705146 0.561241 0.302787 -0.273357 0.193017 0.294446 -0.386463 -0.233890 -0.173521 0.497705 -0.087689
archibald,-0.227050 0.757847 0.064114 -0.829755 -0.843605 -0.182622 -0.015227 0.296524 0.005678 -0.665270 -0.206007 -0.831167 -0.661790 -0.508135 -0.890876 -0.146919
emergency,-0.001102 -0.509778 -0.516306 -0.136804 -0.690913 0.174883 0.344029 0.221588 -0.736350 -0.048968 -0.034227 0.468272 -0.155541 -0.313812 -0.524860 -0.040674
'',-0.860361 1.077491 0.056510 -0.692046 -0.276932 0.292655 -0.844448 0.441525 -0.856497 -0.972856 -1.121677 -0.976295 -0.432905 -0.246595 -0.325293 -0.420361
attempt,0.277305 -1.173751 0.502243 1.258715 -0.425539 0.683557 0.238008 -0.194948 -0.091099 0.030638 0.363474 -0.515465 -0.489566 -0.884659 -0.036537 -0.341809
band,-0.337393 -0.442884 -0.023966 1.144066 -0.282851 -0.172461 0.380371 -0.248529 -0.347658 -0.499122 0.233153 -0.024293 -0.323673 -0.535488 -0.637900 -0.314721
benefit,0.129810 -0.564331 -0.182340 1.390468 -0.206420 -0.124570 0.483291 -0.162687 -0.326761 -0.106775 0.064279 -0.289235 -0.464501 -0.452149 0.263100 0.196108
industry,-0.188026 -0.641299 0.098151 0.513640 -0.548696 -0.294588 0.391931 -0.091919 -0.140735 -0.112872 0.160360 -0.390247 -0.431962 -0.563586 -0.736242 0.030667
wolf,-0.091752 1.103307 -0.538948 0.584682 -0.838402 0.144979 0.480666 -0.162470 0.126024 -0.096338 0.118111 -0.006863 -0.407614 -0.902675 -1.079815 -0.206450
common,-0.435381 0.565584 -0.483144 0.196686 -0.290711 0.114178 0.412296 0.285340 -0.859941 -0.229464 -0.039691 1.300019 -0.191164 -0.062013 -0.002085 -0.350281
mohammed,-0.382390 0.951056 0.077473 0.509309 -0.995412 -0.013198 -0.392736 -0.090979 -0.108033 0.032933 -0.565435 -1.041372 -0.221512 -0.448746 -0.919341 -0.328778
spend,1.393545 0.475881 1.107641 -0.129247 0.007030 -1.204984 0.695469 0.112622 -0.222199 0.407877 0.797673 0.139585 0.272312 -0.225729 1.584424 -0.458140
instructions,0.236667 -0.293443 -0.307005 0.351207 -0.129799 -0.315068 0.031422 0.764101 -0.175130 -0.060602 0.145514 -0.077507 -0.644283 -0.740434 -0.321978 0.470350
spring,-0.135218 -0.206364 -0.197104 0.623062 -0.625006 -0.124080 0.205959 0.014747 -0.238409 -0.566972 0.154439 0.014622 -0.342087 -0.558728 -0.884438 -0.082263
eol,0.313815 -0.271933 -0.656635 0.192651 -0.706959 0.017293 0.299147 -0.105091 -0.602029 -0.135965 0.032202 0.179220 0.126728 -0.619898 -0.621631 -0.058550
judge,0.088319 -0.205765 -0.256665 0.256468 -0.468643 0.102613 0.343137 -0.064692 -0.335606 -0.365646 -0.306816 -0.260507 -0.207550 -0.691162 -0.515897 0.021629
remain,1.317486 0.547866 0.509952 0.362439 -0.032303 -0.720010 0.451568 0.300361 0.064249 0.260699 -0.049444 -0.475621 -0.141258 -0.081040 0.545613 -0.365551
imagine,1.128861 0.115541 0.760916 0.160873 -0.443946 0.124835 0.660280 0.380041 0.072748 0.249339 0.003656 -0.273011 -0.215883 -0.078749 1.718640 0.086840
section,0.176975 0.772206 -0.695941 0.158357 -0.880442 -0.375595 0.426500 -0.196646 -0.077787 -0.016744 0.341225 0.001999 -0.056336 -0.456131 -0.345538 -0.296039
girls,-0.051401 -0.211212 -0.182008 0.510760 -0.581017 0.410762 0.469989 0.271693 -0.133556 -0.136682 0.367207 -0.277335 -0.406378 -0.629975 -0.544703 -0.024185
turned,0.773457 -0.089984 0.427376 1.515730 -0.116620 -0.270074 0.099407 -0.031752 -0.643424 0.223837 -0.275694 -0.607841 -0.052011 0.043493 1.526584 0.101802
starting,0.997457 0.082655 -0.012756 0.890922 -0.104474 -0.711758 0.687771 0.079458 -0.409108 0.097135 0.453548 -0.027586 0.135077 -0.027894 1.423892 0.112160
syria,-0.375055 -0.335801 0.164000 0.024668 -0.679199 0.241792 0.156027 -0.002128 0.200064 -0.110966 0.135750 -0.095526 -0.420740 -0.487169 -0.958390 0.125056
rules,0.009910 -0.507987 -0.089568 0.021256 -0.532247 -0.823812 0.396112 0.188223 0.056034 -0.042645 0.135700 -0.420634 -0.644677 -0.574192 -0.922168 0.124119
sound,0.569552 -0.191631 0.113853 0.422002 -0.242612 -0.364626 0.418365 0.322858 -0.230080 -0.198420 0.294914 -0.438133 -0.392163 -0.392265 0.390926 -0.003584
ground,-0.024366 -0.286993 -0.295061 0.302811 -0.656862 -0.281089 0.436162 0.193379 -0.292040 -0.177982 0.330435 -0.314862 -0.200118 -0.536519 -0.669827 0.077779
events,-0.167507 -0.710531 0.141675 0.605660 -0.482144 -0.505796 0.476357 0.048096 -0.080028 -0.297052 0.298604 -0.401423 -0.355014 -0.551763 -0.648851 0.085297
bear,0.366605 0.328487 -0.270890 0.596487 -0.500484 -0.059992 0.450920 -0.064462 -0.145555 0.208241 0.329841 -0.311764 -0.596915 -0.685002 -0.592119 -0.085460
beginning,-0.318010 -0.736697 0.448691 1.660318 -0.174468 -0.154027 -0.295878 -0.296754 -0.464090 -0.619608 0.013799 -0.269373 -0.400402 -0.341572 -0.486089 -0.572907
killed,0.773881 0.495830 0.645862 0.788088 -0.030782 -0.418225 0.163447 -0.108644 -0.275843 -0.022368 -0.228620 -0.524075 -0.133678 -0.387740 1.148278 -0.314483
evening,-0.471213 -0.816269 0.152630 -0.221244 -0.677092 -0.488745 0.468067 0.469017 -0.130049 -0.228559 0.141157 -0.019944 -0.469076 -0.363501 -0.895789 0.003903
saturday,-0.375784 -0.392883 0.097474 -0.612702 -0.822345 -0.605978 0.214417 0.113591 0.220012 -0.066541 0.797383 -0.049517 -0.025647 -0.275868 -0.683661 -0.051222
church,-0.122999 -0.763927 -0.025286 0.295688 -0.611329 -0.524987 0.422839 -0.093295 -0.246026 -0.254551 0.010870 -0.210882 -0.115763 -0.564179 -0.877445 0.089788
event,-0.266188 -1.115718 0.337897 -0.016161 -0.561745 -0.555881 0.573969 0.336551 -0.080094 0.035079 0.132240 -0.292637 -0.338255 -0.744942 -0.519102 0.166044
trade,0.552073 -0.252442 -0.517553 0.643944 -0.329737 -0.270279 0.090617 -0.144376 -0.670153 0.296607 -0.298576 -0.149223 -0.023067 -0.504056 -0.264346 0.063406
horses,0.012359 -0.316103 0.086470 -0.058523 -0.544247 0.467580 0.618614 0.197354 -0.073316 -0.015747 0.014706 -0.272497 -0.238795 -0.587567 -0.558147 -0.024749
properly,-0.636268 0.002247 0.466817 -0.680752 0.283786 0.645797 0.174939 0.730147 -0.741506 -0.189979 0.222949 0.626555 -1.287853 1.047869 -0.854370 -0.441339
quote,0.420239 -0.719078 0.267222 0.390867 -0.314239 0.248280 0.551058 0.049886 -0.339884 0.077437 0.028135 -0.441277 -0.485487 -0.568161 -0.192146 0.245182
enjoyed,1.459813 0.438713 1.037501 -0.791387 -0.696405 -0.637962 0.303824 0.612791 0.018548 -0.160227 0.612223 -0.054670 0.113050 -0.226069 2.742750 -0.750111
civil,0.898830 -0.280086 -0.829789 0.375688 -0.355127 -0.196315 0.347091 0.099685 -0.417135 0.304705 -0.506169 0.530325 0.572716 -0.791163 -0.128177 0.078104
son,0.086343 -0.333672 0.020161 0.755443 -0.401076 -0.355808 0.112152 -0.015182 -0.272442 -0.195136 0.106289 -0.324152 -0.293827 -0.859313 -0.763698 0.018905
interesting,0.646176 -0.670948 -0.368451 0.351620 -0.033598 -0.348953 0.465432 0.466935 0.152839 0.331813 -0.287924 0.079787 -0.199267 -0.899026 0.209207 -0.084552
fighting,0.528237 -0.465554 0.573836 0.413346 -0.287096 -0.454139 0.644611 0.080086 -0.041073 0.286256 0.268781 -0.395015 -0.339692 -0.247638 0.359088 0.097173
story,-0.226501 -0.515379 0.060433 0.507856 -0.469548 -0.123673 0.599366 0.014292 0.117455 -0.231545 0.071997 -0.402462 -0.614054 -0.713101 -0.825973 -0.040611
written,-0.209162 -0.536500 0.761441 0.232358 -0.280475 -0.217688 -0.008683 -0.058867 -0.632976 0.113742 0.067972 -0.336751 -0.511467 0.233083 -0.005950 -0.241784
figure,0.920825 -0.266224 0.195412 1.386681 0.117756 -0.163991 0.686009 0.024172 -0.829086 0.348265 -0.411712 -0.288368 0.058473 0.315464 1.495198 0.657786
ten,0.214481 -0.100904 -0.059218 0.134930 -0.545745 -0.247358 0.351464 0.005459 -0.530314 0.170673 -0.408084 0.854576 0.557394 -1.192756 -0.212322 0.199566
0,-0.039939 -0.112516 -0.083176 -0.227648 -0.946200 -1.021117 0.165234 0.191385 0.110534 -0.372947 -1.075657 0.465187 -0.336406 -0.996198 -1.046677 0.973606
9,-0.529104 0.909623 -0.503236 0.851982 -0.702902 -0.395722 0.316250 0.274465 -0.066954 0.021552 -0.279855 0.399169 0.121180 -1.081777 -0.429614 0.233624
x,-0.338929 -0.201082 0.038730 -0.378646 -0.353725 -0.647821 -0.317924 0.276038 -0.872762 -0.357135 -0.512682 -0.331715 -0.124258 -0.527519 -0.334818 -0.064410
surgery,-0.359013 -0.979490 0.205387 0.410115 -0.453677 0.268336 0.449013 0.155999 -0.304151 -0.141010 -0.006454 -0.034577 -0.428719 -0.318240 -0.462518 -0.046209
respond,0.633891 -1.233907 1.262605 0.651343 -0.625942 0.381541 -0.431157 0.241729 0.271562 0.001971 -0.620416 -0.917112 -0.520033 -0.768330 0.152002 -0.401974
japan,-0.041593 -0.262356 -0.028707 0.024656 -0.809491 -0.249712 0.315322 -0.044000 -0.150137 -0.188851 0.186610 -0.198986 -0.375564 -0.456227 -0.744182 0.037106
led,0.847243 -0.652509 0.445141 0.699995 0.023068 -0.155175 0.279824 0.289531 -0.209654 0.330855 -0.330170 -0.458397 0.149229 -0.432311 1.313407 -0.221482
refused,1.206708 -0.896709 1.061584 0.607331 -0.486451 0.028559 -0.040757 0.423841 0.555770 0.141310 -0.506101 -0.973169 -0.413987 -0.293691 0.386127 -0.743115
husband,0.054265 -0.310051 0.101170 -0.329421 -0.770795 -0.155695 0.403187 0.171379 -0.200684 0.140620 0.466457 -0.283841 -0.769225 -0.881011 -0.810620 0.048557
served,0.984181 -0.124518 0.641141 0.861901 0.111665 -0.296753 0.394445 0.094381 -0.201794 0.082258 -0.079567 -0.459522 -0.234990 -0.243902 1.160594 -0.082969
dry,-0.453026 -0.273662 0.036506 -0.216142 -0.250551 -0.110312 0.292313 0.387985 -0.710870 -0.001856 -0.134280 0.818782 -0.424723 -0.090279 -0.162077 -0.337762
met,0.832518 0.191670 0.274168 0.822509 -0.276367 -0.249916 0.077151 0.495914 -0.256281 -0.160561 -0.190673 -0.471894 -0.310333 -0.061828 1.505718 -0.036281
star,-0.212902 -0.589233 -0.532521 0.341183 -0.646654 -0.270025 0.435201 -0.431889 -0.457510 -0.003882 -0.187971 0.049228 -0.172757 -0.279556 -0.617101 -0.010092
wood,-0.068665 0.012812 -0.366966 0.391521 -0.778462 -0.098861 0.353425 -0.104144 -0.144821 -0.175986 0.077828 -0.079138 -0.299365 -0.526749 -0.625088 0.021702
theory,-0.065489 -0.687925 0.159565 0.114564 -0.468515 -0.838702 0.424795 -0.102639 -0.018305 -0.187175 0.193168 -0.440644 -0.474071 -0.406341 -0.710498 0.010681
stated,0.150337 -0.664869 0.906037 0.391877 -0.611054 1.574055 -0.021486 0.063909 -0.466877 0.381581 0.034597 -0.709909 -0.635013 0.362291 0.483692 -0.313634
opinion,0.101381 -0.601405 -0.135808 0.213763 -0.227256 -0.833949 0.519638 0.586794 -0.189765 -0.101148 0.354087 -0.720968 -0.713895 -0.635752 -1.151764 0.484294
agreed,1.252549 -0.857849 0.749457 0.965468 -0.067507 -0.071640 0.422111 0.316214 0.477142 0.323799 -0.293278 -0.769791 -0.461415 0.004011 0.003995 -0.433826
female,0.521401 -0.341919 -0.313655 -0.397672 -0.556819 0.289108 0.427641 0.533275 0.018772 0.317784 0.061562 0.021922 -0.291753 -0.900777 -0.112035 -0.233845
visited,1.230887 0.187113 0.774678 0.306179 -0.487591 -0.646780 0.128608 0.282824 -0.205828 -0.019154 0.269536 -0.372324 -0.002544 -0.049657 2.099579 -0.342729
specific,-0.261299 -0.585556 -0.254144 0.116952 -0.213841 0.399201 0.296138 0.199194 -1.118164 0.097967 -0.447804 1.252770 0.120164 -0.111188 -0.586367 -0.430701
companies,-0.464517 -0.560700 0.508040 0.230730 -0.580732 -0.110247 0.682325 -0.082505 -0.413889 0.040362 0.196146 -0.214647 -0.127046 -0.358318 -0.423527 0.187130
lanka,-0.679568 0.158224 0.132099 0.681694 -0.672277 0.114715 -0.351734 0.019841 -0.420748 -0.363715 -0.750981 -0.910387 0.060423 -0.538681 -0.196736 -0.123870
central,-0.235509 0.003872 -0.442812 0.098714 -0.406981 -0.101450 0.278427 0.168846 -0.959721 -0.152594 -0.144271 1.335241 0.028256 -0.148732 -0.176138 -0.309646
decide,1.254998 -0.929458 0.898495 1.430880 -0.324425 0.376770 0.502022 0.227046 0.616176 0.354271 -0.151374 -0.774438 -0.248544 0.209711 0.577474 -0.681039
modern,0.669814 0.511523 -0.802051 0.188043 -0.293634 -0.298380 0.070788 0.499308 -0.482467 0.107764 -0.304333 0.642042 0.338963 -1.158355 0.215775 0.337106
economic,0.900118 0.241809 -0.976056 0.211113 -0.082374 -0.427877 0.358574 0.226420 -0.373838 0.434435 -0.315208 0.470203 0.311506 -0.996188 -0.134624 -0.022655
otherwise,-0.709216 0.011993 0.535182 -0.764296 0.204357 -0.410770 0.009146 0.981176 -0.367080 -0.424028 0.156208 0.728724 -1.708275 0.692491 -1.154107 0.150897
class,-0.266439 -0.354003 -0.533973 0.513453 -0.520745 -0.040490 0.486273 0.058478 -0.613662 -0.205281 -0.008395 -0.143512 -0.327899 -0.094270 -0.486498 0.200045
canadian,-0.189668 0.611999 -0.589266 -0.023228 -0.184609 -0.007251 0.396671 0.180097 -1.084792 -0.278123 -0.136110 1.357876 0.018084 -0.185875 -0.625141 -0.289160
complete,-0.344373 -0.048034 0.240613 -0.130685 -0.159182 0.035620 0.411071 0.149323 -0.956235 -0.017591 0.186285 1.102235 -0.173186 -0.024498 0.147816 -0.440129
claim,0.487937 -0.854928 1.031567 0.382742 -0.173824 -0.079354 0.565534 -0.127837 -0.136582 0.390682 0.347449 -0.518393 -0.294816 -0.623756 0.291524 -0.301007
sept.,0.180912 0.001866 -0.487981 -0.786168 -0.632350 -1.189686 -0.158686 -0.039533 -0.864711 -0.781678 0.304031 0.459511 0.527733 -0.823029 0.890451 -0.456248
oh,-0.706300 0.370222 0.983430 -0.990656 -0.321319 -0.421342 -0.399123 0.879493 -0.719178 -0.842358 -0.776689 1.093367 -0.515511 -0.686151 0.440790 0.659290
clair,0.381885 -0.370490 -0.111672 0.089522 -0.828098 -0.716344 -0.570657 -0.691682 -0.609725 -0.745983 -1.118315 -0.879144 -0.095654 0.114855 -0.708193 -0.254274
nation,-0.261290 0.013063 0.036291 0.494000 -0.734091 0.064739 0.618840 0.029249 -0.199098 0.053550 0.282959 -0.292887 -0.210677 -0.681876 -0.941699 0.003488
details,-0.008339 -0.639293 0.321145 1.170033 -0.061656 -0.515020 0.551915 -0.207983 -0.181824 -0.213337 0.222257 -0.380094 -0.328356 -0.668875 -0.347239 0.048413
cold,-0.648051 -0.288115 0.451270 -0.307867 -0.293822 -0.661434 0.299791 0.546046 -0.235105 0.067104 -0.225209 0.705428 -0.810065 -0.262944 -0.944079 -0.028036
self,-0.169282 -0.165138 -0.272719 0.405312 -0.438542 -0.911873 0.508442 -0.065584 0.180087 0.213620 -0.082665 -0.169145 -0.131650 -0.380426 -0.902743 0.287166
tuesday,-0.455511 -0.405595 0.105577 -0.172587 -0.628197 -1.044106 -0.098698 0.364209 -0.266027 -0.124021 -0.229638 -0.724066 -0.289173 -0.533055 -0.758220 0.095588
blue,0.741788 -0.532069 -0.438835 0.199838 -0.106679 -0.331269 0.347167 0.188542 -0.121224 0.199183 -0.623481 0.350923 0.070211 -0.945278 -0.049642 0.173152
returned,-0.013786 -0.799414 1.093113 0.519557 -0.295507 0.097852 -0.248064 0.241162 -0.337459 -0.020766 -0.064021 -0.239619 -0.876282 0.218878 -0.065685 -0.408802
named,1.366238 0.417065 -0.052505 0.605577 0.275298 -0.795708 0.614829 -0.060600 0.307319 0.360474 -0.174973 -0.368695 -0.393527 -0.088641 0.075206 -0.433713
larger,-0.339877 -0.426595 0.198564 0.189078 0.042835 0.133819 0.314820 0.286520 -1.246704 -0.125364 -0.124727 1.448442 0.042795 -0.195573 -0.128088 -0.309049
names,-0.103626 -0.950699 0.249702 0.169236 -0.613307 -0.310147 0.515188 0.005095 -0.095825 0.150731 0.359126 -0.338213 -0.357518 -0.660005 -0.177570 -0.145441
extra,0.759810 0.242814 -1.071218 0.183289 -0.071286 -0.277182 0.512344 0.266562 -0.520603 0.400334 -0.195540 0.600406 0.415993 -1.039713 0.033041 -0.185612
began,1.536579 0.039030 0.526136 0.407174 -0.270548 -0.209299 0.251210 0.375551 0.232696 0.070524 -0.180033 -0.681887 -0.090529 0.017633 0.976475 -0.621895
currency,0.177201 0.070733 -0.411871 0.322965 -0.400231 -0.951200 0.463423 -0.379186 -0.359885 0.124317 -0.018399 0.190041 -0.096022 -0.689723 -0.464138 -0.058305
hey,0.311162 0.506837 0.311812 -0.678349 -0.643891 0.837586 -0.344059 0.722814 -0.087150 -0.324866 -0.800266 0.076670 -0.228662 -1.396276 0.810128 0.461785
supreme,-0.030112 -0.402851 -0.689961 0.244195 -0.060352 -0.179885 0.032497 0.173462 -1.515792 -0.286522 -0.385490 1.415379 0.086707 0.225672 -0.522804 -0.085830
appointment,-0.253616 -0.867728 0.248574 0.236276 -0.549730 0.209297 0.625142 0.130809 -0.466056 0.215246 0.372859 -0.368967 -0.432394 -0.571102 -0.120091 0.087046
meal,-0.153045 -0.584829 -0.093983 0.729104 -0.372131 -0.532878 0.492889 0.204676 -0.090356 -0.163680 0.248121 -0.433268 -0.568198 -0.687686 -0.678513 0.227203
mostly,-0.484394 0.643503 0.232433 0.251130 0.427253 -0.173965 -0.140129 0.049395 -0.934078 -0.208224 0.318103 1.341831 -1.145193 0.709774 -0.143449 -0.453579
opportunity,0.033097 -1.323757 0.556858 0.555055 -0.524552 0.171172 0.302538 0.052531 0.017852 0.091931 0.166361 -0.424579 -0.561779 -0.992343 -0.493180 -0.220828
wedding,-0.075380 0.368360 -0.928443 0.633034 -0.498858 -0.087426 0.507301 -0.082154 -0.884703 0.215323 0.115552 0.251147 -0.192172 -0.373075 -0.306862 0.164573
prior,0.349539 -1.422551 0.720456 0.663342 -0.388291 0.490773 -0.465106 0.233734 0.272994 0.143066 -0.551934 -0.684707 -0.093892 -1.266741 0.163494 -0.639131
answers,0.090215 -0.841034 0.281365 -0.230866 -0.352354 -0.429052 0.386140 0.363749 0.054429 0.244436 0.331147 -0.424413 -0.587914 -0.759101 -0.495013 -0.203542
steve,-0.286612 0.529306 -0.083043 -0.214257 -1.008903 -0.674014 -0.115604 0.067543 -0.025851 -0.345056 -0.299664 -0.419793 -0.359568 -0.650004 -0.754958 0.001171
master,0.532255 -0.198492 -0.490308 0.178628 -0.513465 -0.575396 0.249905 -0.239714 -0.531578 0.133876 0.109916 -0.068243 -0.165722 -0.362351 -0.560300 -0.035413
.....,-0.803388 0.967203 0.279918 -1.113366 -0.490295 -0.523744 -1.206143 1.045380 -0.570652 -0.626847 -0.838366 -1.490455 -0.195418 -1.042428 0.274831 -0.048699
afraid,-0.447623 -1.012828 0.801474 0.741216 -0.166529 0.569959 0.254299 0.219599 -0.185672 -0.084565 -0.261629 0.504604 -0.507502 -0.619579 -0.064041 -0.372591
favorite,0.633154 0.078472 -0.721871 0.774011 -0.384845 0.523382 0.408696 0.278573 -0.242019 0.018573 -0.130854 0.328121 -0.288726 -1.268648 0.003595 0.206559
repair,-0.379258 -0.194344 -0.341197 0.355339 -0.695795 0.213803 0.542410 -0.048509 -0.388413 -0.010199 0.087203 0.147495 -0.346801 -0.158818 -0.237517 -0.245053
graduate,0.454507 -0.643453 -0.134343 0.332143 -0.436188 -0.522333 0.212244 -0.054765 -0.417371 0.168592 -0.171750 -0.226022 -0.253389 -0.432709 -0.452392 0.066651
iso,0.136714 -0.255914 -0.577766 0.443351 -0.616758 -0.107975 0.060613 -0.505242 -0.328953 -0.016571 0.124720 0.023621 -0.158337 -0.253363 -0.737855 0.196780
soldiers,-0.162583 0.015605 -0.170321 1.189600 -0.343617 0.248044 0.640922 -0.195618 -0.078994 -0.373703 0.020806 -0.313419 -0.396828 -0.515866 -0.481180 0.144416
touch,0.155055 0.074605 0.027569 0.978696 -0.322847 -0.679590 0.640867 0.111575 -0.088019 -0.033731 0.497400 -0.284653 -0.069836 -0.141599 0.347253 -0.098562
unit,-0.014460 -0.629199 -0.001450 1.129583 -0.373166 -0.060657 0.353942 -0.256251 -0.134142 -0.412719 0.172302 -0.288809 -0.288583 -0.677533 -0.512224 -0.094763
anywhere,-1.001174 -0.098308 -0.135667 0.189117 0.160285 0.426920 0.357589 0.422198 -0.699684 -0.255188 0.457543 0.897757 -0.878264 0.817446 0.697430 -0.490215
art,0.394261 -0.144030 -0.303560 0.316959 -0.770400 -0.492430 0.232696 -0.472563 -0.325395 0.104476 -0.020863 -0.264089 -0.433965 -0.192980 -0.689736 0.061544
results,-0.408087 -0.183192 -0.049871 0.094290 -0.475390 0.260576 0.681057 0.316446 -0.386491 -0.403640 0.344010 -0.048293 -0.373700 -0.309617 -0.673708 -0.064232
kill,1.173593 -0.046003 0.118995 0.231898 -0.272154 -0.251034 0.482993 0.362510 -0.283742 0.329052 0.154945 -0.196114 -0.033521 -0.021854 1.048395 -0.117472
offered,0.882805 -0.391649 0.763296 0.706928 -0.096215 -0.180488 0.255228 0.258146 -0.436135 0.179488 -0.082510 -0.505274 0.142185 -0.131608 1.799685 -0.151939
france,-0.292240 -0.777170 0.190537 -0.134238 -0.855652 -0.216294 0.362855 0.476406 -0.001240 -0.268197 0.260245 -0.245675 -0.174071 -0.494802 -0.984752 0.015957
trained,0.593699 -0.522393 0.197791 0.023932 -0.308750 -0.136135 0.219488 0.578124 0.184728 0.160571 -0.229199 -0.363471 -0.414171 -0.700968 0.467695 -0.195368
director,-0.288267 -0.098791 -0.214409 0.615381 -0.610683 -0.343851 0.207876 -0.055074 -0.071727 -0.347272 0.268117 0.144748 -0.319905 -0.746856 -0.661905 -0.414094
northern,0.813264 0.251400 -0.915057 0.294022 -0.339131 -0.380863 0.434056 0.107392 -0.381782 0.282079 -0.369599 0.608416 0.577881 -0.993014 -0.270236 0.018037
somewhere,-0.708459 0.337150 -0.411825 -0.141424 0.219206 0.695420 0.430381 0.499711 -1.067777 -0.465756 0.617918 0.888630 -1.036629 0.929973 1.131006 -0.282591
audit,-0.391081 0.003439 -1.170392 0.649986 -0.504280 -0.143048 0.408615 -0.379156 -0.812294 -0.001137 -0.333777 0.501461 -0.084841 0.249053 -0.297366 -0.077997
kim,-0.308097 -0.033128 0.172756 -0.329388 -1.073667 -0.859922 0.224432 -0.255217 0.509152 -0.320799 -0.069930 0.117122 -0.763210 -0.593027 -0.762577 0.614721
normal,0.512000 -0.357806 -0.235520 0.390899 0.001023 -0.382556 0.482437 0.423977 -0.088312 0.232480 -0.378867 0.240824 -0.106840 -1.018090 -0.136895 0.154581
bigger,-0.673893 -0.350615 0.237395 0.292791 0.133385 0.302746 0.345674 0.272436 -0.807609 -0.279415 -0.405843 1.274588 -0.301684 -0.015081 -0.475123 -0.517677
limited,-0.126698 -0.419970 -0.000882 0.109157 -0.298761 0.312334 -0.134160 0.132550 -0.737888 -0.090777 -0.434821 0.392350 -0.309567 -0.368000 -0.150218 -0.504018
legs,0.066203 -0.630274 0.030357 -0.347171 -0.524641 -0.364145 0.422003 0.563540 -0.071314 0.089890 0.448505 -0.505081 -0.648702 -0.715619 -0.984773 -0.019839
size,-0.256558 -0.759611 -0.189215 0.407010 -0.442562 -0.694962 0.576129 0.103501 -0.144963 -0.174979 0.040148 -0.076405 -0.174793 -0.664988 -0.386581 0.032684
police,0.194103 -0.637020 -0.167633 -0.398225 -0.670258 -0.125726 0.286615 0.348133 -0.165471 -0.149017 0.028290 -0.070828 -0.450177 -0.724432 -0.507645 0.110350
society,-0.276086 -0.620342 0.110181 0.188476 -0.591785 0.155234 0.336390 0.357894 -0.294917 -0.162194 0.317366 -0.307828 -0.340052 -0.476379 -0.090964 -0.037279
woman,-0.064606 -0.522154 -0.409311 0.784872 -0.541188 0.654149 0.632444 0.091656 -0.185238 -0.169575 0.130830 -0.309011 -0.512614 -0.519203 -0.013010 0.097670
picture,0.262314 -0.544792 -0.232343 0.299323 -0.364165 0.072505 0.480185 0.333798 -0.041984 -0.112577 -0.092047 -0.501144 -0.519587 -0.525620 -0.181624 0.178439
became,1.428801 0.703899 0.643748 -0.280862 -0.183819 -0.717535 0.278391 0.189167 -0.240720 0.039554 0.392892 -0.479311 0.187691 -0.169016 1.357500 -0.705636
medical,0.732482 0.043974 -0.932931 0.241793 -0.296575 -0.217135 0.268838 0.097337 -0.445495 0.417933 -0.402026 0.495796 0.299803 -0.914044 -0.184293 -0.032628
chess,-0.479540 -0.329548 0.104742 0.116851 -0.625890 -0.497235 0.524528 0.130974 -0.339061 -0.183862 -0.018239 0.258544 0.072978 -0.326634 -0.825774 0.041138
pain,-0.085145 -0.289922 -0.150215 -0.077153 -0.573712 -0.758254 0.533237 0.249983 -0.000295 -0.009813 0.334406 -0.171234 -0.288890 -0.666991 -0.447159 -0.138022
fund,-0.324371 -0.594286 -0.118429 0.495234 -0.585240 -0.735459 0.519741 -0.125476 -0.072446 -0.142089 0.052695 -0.314792 -0.344165 -0.409385 -0.500825 0.091945
finance,-0.114138 -0.476887 -0.261303 -0.007033 -0.720439 -0.563721 0.292886 -0.037103 -0.344653 -0.155766 0.170215 -0.008389 -0.308409 -0.322414 -0.503151 -0.080153
parking,0.086752 -0.028934 -0.088601 0.882167 -0.502630 -0.115305 0.540821 -0.009093 -0.003987 -0.170243 0.293138 -0.176572 -0.313964 -0.604579 -0.117931 0.150291
lol,-1.027696 0.710774 0.111404 -0.878872 -0.416474 0.323315 0.007844 1.113012 -0.353481 -0.449407 -0.908263 0.386350 -0.539423 -0.587673 -0.210014 0.222181
showing,1.045768 0.223527 0.490668 0.638663 -0.119654 -0.354187 0.363486 0.151184 -0.528384 0.566596 -0.176679 -0.374066 0.170577 0.011975 2.002261 -0.011682
hamster,0.161503 -0.028306 -0.245996 -0.136989 -0.479531 0.286056 0.588916 0.144353 -0.093711 0.133086 0.301578 -0.425592 -0.560576 -0.675346 -0.691222 -0.191345
animal,-0.116142 -0.235062 -0.410902 0.645625 -0.553069 0.331074 0.586271 -0.262383 -0.311704 0.204801 -0.006465 -0.171425 -0.191880 -0.658897 -0.352631 -0.193559
toward,-0.543947 -0.018015 0.457040 -0.410299 -0.281082 -0.745637 -0.334460 -0.544105 -0.403641 0.085430 1.554593 0.205830 -0.084713 1.035067 0.218696 -0.154534
